Title;Question;Answer quality
Questionnaire 1;Who is the current president of the United States;0
Questionnaire 1;Which of these is an Android version;0
Questionnaire 1;What kind of animal is "Cisco" in "Dances with Wolves";1
Questionnaire 2;Who is the current president of the United States;0
Questionnaire 2;Which of these is an Android version;0
Questionnaire 2;What kind of animal is "Cisco" in "Dances with Wolves";1
Questionnaire 3;Who is the current president of the United States;1
Questionnaire 3;Which of these is an Android version;1
Questionnaire 3;What kind of animal is "Cisco" in "Dances with Wolves";0
Questionnaire 4;Who is the current president of the United States;0
Questionnaire 4;Which of these is an Android version;0
Questionnaire 4;What kind of animal is "Cisco" in "Dances with Wolves";0
Questionnaire 5;Which of these animals is a mammal;1
Questionnaire 5;What is the sum of 2+3;0
Questionnaire 5;What is the answer to the ultimate question of life, the universe and everything;1
Questionnaire 5;Which Hogwarts House would you be sorted to;1
Questionnaire 6;Who is the current president of the United States;1
Questionnaire 6;Which of these is an Android version;1
Questionnaire 6;What kind of animal is "Cisco" in "Dances with Wolves";0
Questionnaire 7;Who is the current president of the United States;1
Questionnaire 7;Which of these is an Android version;0
Questionnaire 7;What kind of animal is "Cisco" in "Dances with Wolves";0
